date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:50	332/332	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:48:50%20GMT	http://em.logosny.org/robots.txt		(from )
17:48:50	51721/51721	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:48:50%20GMT	http://em.logosny.org/	C:/My%20Web%20Sites/logosny/em.logosny.org/index.html	(from )
17:48:52	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2021%20Nov%202020%2022:48:51%20GMT	http://em.logosny.org/xmlrpc.php	C:/My%20Web%20Sites/logosny/em.logosny.org/xmlrpc.php	(from http://em.logosny.org/)
17:48:52	3408/3408	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:23:38%20GMT	http://em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-1-e1474693015954.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-1-e1474693015954.png	(from http://em.logosny.org/)
17:48:53	4596/4596	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:23:31%20GMT	http://em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-3-e1474693080636.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-3-e1474693080636.png	(from http://em.logosny.org/)
17:48:53	7353/7353	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:23:13%20GMT	http://em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-2-e1474693060466.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-2-e1474693060466.png	(from http://em.logosny.org/)
17:48:54	9813/9813	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:23:39%20GMT	http://em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-4-e1474693092370.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon-4-e1474693092370.png	(from http://em.logosny.org/)
17:48:54	29151/29151	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:23:16%20GMT	http://em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/09/LCC-Logo-Icon.png	(from http://em.logosny.org/)
17:48:54	1832/1832	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:48:55%20GMT	http://em.logosny.org/feed	C:/My%20Web%20Sites/logosny/em.logosny.org/feed.html	(from http://em.logosny.org/)
17:48:55	17380/17380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/logosny/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from http://em.logosny.org/)
17:48:55	1735/1735	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:48:55%20GMT	http://em.logosny.org/comments/feed	C:/My%20Web%20Sites/logosny/em.logosny.org/comments/feed.html	(from http://em.logosny.org/)
17:48:56	1725/1725	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:48:56%20GMT	http://em.logosny.org/home/feed	C:/My%20Web%20Sites/logosny/em.logosny.org/home/feed.html	(from http://em.logosny.org/)
17:48:57	342/342	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:36:15%20GMT	http://em.logosny.org/wp-content/plugins/social-media-icons-widget/css/social_icons_widget.css?ver=5.2.9	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/social-media-icons-widget/css/social_icons_widget0606.css	(from http://em.logosny.org/)
17:48:57	29295/29295	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:44:37%20GMT	http://em.logosny.org/wp-includes/css/dist/block-library/style.min.css?ver=5.2.9	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-includes/css/dist/block-library/style.min0606.css	(from http://em.logosny.org/)
17:48:57	36724/36724	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:39:54%20GMT	http://em.logosny.org/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.2.6	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/revslider/public/assets/css/settings5223.css	(from http://em.logosny.org/)
17:48:58	971/971	---M--	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2004:06:34%20GMT	http://em.logosny.org/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.10.16	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/siteorigin-panels/css/front-flex.minc7da.css	(from http://em.logosny.org/)
17:49:00	88300/88300	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:27:06%20GMT	http://em.logosny.org/wp-content/themes/NativeChurch/assets/css/bootstrap.css?ver=3.1.3	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/themes/NativeChurch/assets/css/bootstrap583f.css	(from http://em.logosny.org/)
17:49:00	28913/28913	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:27:06%20GMT	http://em.logosny.org/wp-content/themes/NativeChurch/assets/css/font-awesome.css?ver=3.1.3	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/themes/NativeChurch/assets/css/font-awesome583f.css	(from http://em.logosny.org/)
17:49:01	22123/22123	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:27:06%20GMT	http://em.logosny.org/wp-content/themes/NativeChurch/assets/css/animations.css?ver=3.1.3	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/themes/NativeChurch/assets/css/animations583f.css	(from http://em.logosny.org/)
